ds,y
2019-05-16,3.54
2019-05-17,3.42
2019-05-18,3.06
2019-05-19,3.2399999999999998
2019-05-20,3.3
2019-05-21,3.5999999999999996
2019-05-22,3.7199999999999998
2019-05-23,3.54
2019-05-24,3.3
2019-05-25,3.0
2019-05-26,3.12
2019-05-27,2.82
2019-05-28,3.2399999999999998
2019-05-29,3.12
2019-05-30,3.3
2019-05-31,3.1799999999999997
2019-06-01,4.3
2019-06-02,4.55
2019-06-03,4.6000000000000005
2019-06-04,4.9
2019-06-05,4.7
2019-06-06,4.95
2019-06-07,4.95
2019-06-08,4.95
2019-06-09,4.7
2019-06-10,4.7
2019-06-11,4.55
2019-06-12,4.45
2019-06-13,4.6000000000000005
2019-06-14,5.0
2019-06-15,4.6000000000000005
2019-06-16,4.4
2019-06-17,4.3
2019-06-18,4.65
2019-06-19,4.4
2019-06-20,4.800000000000001
2019-06-21,4.5
2019-06-22,4.3
2019-06-23,4.55
2019-06-24,4.3
2019-06-25,4.95
2019-06-26,4.5
2019-06-27,4.95
2019-06-28,4.3
2019-06-29,4.7
2019-06-30,4.65
2019-07-01,2.87
2019-07-02,3.0100000000000002
2019-07-03,2.87
2019-07-04,2.9400000000000004
2019-07-05,2.9400000000000004
2019-07-06,3.1500000000000004
2019-07-07,3.43
2019-07-08,3.1500000000000004
2019-07-09,3.22
2019-07-10,3.5700000000000003
2019-07-11,3.7100000000000004
2019-07-12,3.3600000000000003
2019-07-13,3.43
2019-07-14,3.5000000000000004
2019-07-15,3.7100000000000004
2019-07-16,3.8500000000000005
2019-07-17,3.9200000000000004
2019-07-18,3.8500000000000005
2019-07-19,3.8500000000000005
2019-07-20,4.2700000000000005
2019-07-21,4.48
2019-07-22,4.69
2019-07-23,5.11
2019-07-24,4.970000000000001
2019-07-25,5.250000000000001
2019-07-26,5.460000000000001
2019-07-27,5.180000000000001
2019-07-28,6.16
2019-07-29,6.370000000000001
2019-07-30,6.720000000000001
2019-07-31,7.000000000000001
2019-08-01,9.200000000000001
2019-08-02,11.270000000000001
2019-08-03,7.13
2019-08-04,8.05
2019-08-05,6.44
2019-08-06,6.21
2019-08-07,6.44
2019-08-08,13.110000000000001
2019-08-09,19.78
2019-08-10,13.8
2019-08-11,15.870000000000001
2019-08-12,8.05
2019-08-13,7.36
2019-08-14,6.67
2019-08-15,9.43
2019-08-16,14.030000000000001
2019-08-17,14.49
2019-08-18,19.32
2019-08-19,11.73
2019-08-20,10.35
2019-08-21,7.13
2019-08-22,10.81
2019-08-23,14.950000000000001
2019-08-24,15.870000000000001
2019-08-25,23.0
2019-08-26,13.34
2019-08-27,9.43
2019-08-28,9.200000000000001
2019-08-29,11.5
2019-08-30,18.400000000000002
2019-08-31,15.180000000000001
2019-09-01,12.73
2019-09-02,9.38
2019-09-03,9.38
2019-09-04,11.39
2019-09-05,18.09
2019-09-06,23.450000000000003
2019-09-07,12.73
2019-09-08,67.0
2019-09-09,36.18
2019-09-10,24.790000000000003
2019-09-11,10.72
2019-09-12,14.74
2019-09-13,20.77
2019-09-14,8.71
2019-09-15,61.64
2019-09-16,28.14
2019-09-17,18.76
2019-09-18,9.38
2019-09-19,12.73
2019-09-20,18.09
2019-09-21,8.71
2019-09-22,58.290000000000006
2019-09-23,30.150000000000002
2019-09-24,17.42
2019-09-25,8.71
2019-09-26,11.39
2019-09-27,18.09
2019-09-28,8.040000000000001
2019-09-29,54.940000000000005
2019-09-30,29.48
2019-10-01,16.24
2019-10-02,8.12
2019-10-03,11.02
2019-10-04,16.82
2019-10-05,8.12
2019-10-06,57.419999999999995
2019-10-07,28.419999999999998
2019-10-08,18.56
2019-10-09,7.539999999999999
2019-10-10,9.86
2019-10-11,17.98
2019-10-12,8.7
2019-10-13,57.99999999999999
2019-10-14,26.68
2019-10-15,17.98
2019-10-16,8.7
2019-10-17,11.02
2019-10-18,16.24
2019-10-19,8.12
2019-10-20,51.04
2019-10-21,26.68
2019-10-22,18.56
2019-10-23,8.7
2019-10-24,9.86
2019-10-25,13.34
2019-10-26,8.7
2019-10-27,51.04
2019-10-28,27.259999999999998
2019-10-29,20.88
2019-10-30,8.12
2019-10-31,9.28
2019-11-01,20.13
2019-11-02,9.76
2019-11-03,61.0
2019-11-04,45.14
2019-11-05,25.62
2019-11-06,9.76
2019-11-07,12.2
2019-11-08,18.3
2019-11-09,9.76
2019-11-10,54.9
2019-11-11,40.26
2019-11-12,31.72
2019-11-13,10.37
2019-11-14,11.59
2019-11-15,25.62
2019-11-16,12.2
2019-11-17,59.78
2019-11-18,39.65
2019-11-19,23.18
2019-11-20,10.37
2019-11-21,12.81
2019-11-22,17.69
2019-11-23,9.76
2019-11-24,55.51
2019-11-25,40.87
2019-11-26,25.009999999999998
2019-11-27,12.2
2019-11-28,39.04
2019-11-29,30.5
2019-11-30,12.2
2019-12-01,54.75
2019-12-02,33.75
2019-12-03,21.75
2019-12-04,9.0
2019-12-05,10.5
2019-12-06,20.25
2019-12-07,9.0
2019-12-08,53.25
2019-12-09,36.75
2019-12-10,20.25
2019-12-11,8.25
2019-12-12,10.5
2019-12-13,17.25
2019-12-14,9.75
2019-12-15,54.75
2019-12-16,37.5
2019-12-17,20.25
2019-12-18,9.75
2019-12-19,11.25
2019-12-20,13.5
2019-12-21,37.5
2019-12-22,75.0
2019-12-23,38.25
2019-12-24,24.75
2019-12-25,12.75
2019-12-26,11.25
2019-12-27,11.25
2019-12-28,15.0
2019-12-29,69.75
2019-12-30,63.0
2019-12-31,16.5
2020-01-01,7.15
2020-01-02,6.5
2020-01-03,7.15
2020-01-04,26.0
